filename,edge_case_label,golden_room_type,ai_room_type,room_type_ok,is_a_room_match,golden_condition,ai_condition,cond_ok,golden_objects,ai_objects,ai_confidence,conf_bucket,overconfident_wrong,latency_sec,ai_description
img21.jpg,empty_room,room,room,True,True,unfurnished,unfurnished,True,window,window; electrical outlet; sprinkler head; vent,95.0,85-100,False,3.95,"An empty room with white walls, a large window, and light wood flooring."
img22.jpg,low_light,room,bedroom,True,True,unfurnished,furnished,False,none,curtains; desk; bed,75.0,60-84,False,2.85,A dimly lit room with a window covered by sheer curtains and a desk with papers.
img23.jpg,cluttered_multipurpose,bedroom,bedroom,True,True,furnished,furnished,True,bed; painting; chair; table; stool; monitor; laptop; dustbin; lamp,bed; desk; chair; computer; lamp; stool; picture frames,95.0,85-100,False,2.24,"A modern bedroom with a bed, desk, and decorative art."
img24.jpg,wrong_subject_exterior,none,none,True,True,unfurnished,unfurnished,True,none,,100.0,85-100,False,3.11,A garden with flowers and a white fence.
img25.jpg,wrong_input_floorplan,none,none,True,True,staged,unfurnished,False,none,,95.0,85-100,False,11.06,A floor plan drawing with a tape measure and pen on a wooden desk.
img26.jpg,blurry,room,room,True,True,staged,unclear,False,none,,10.0,0-59,False,2.44,"A blurry, abstract image with warm tones, possibly depicting a person or a room."
img27.jpg,under_renovation,room,kitchen,True,True,unfurnished,under_renovation,False,none,ladder; table,95.0,85-100,False,2.49,A kitchen under renovation with exposed wires and a ladder.
img28.jpg,extreme_style,room,room,True,True,unfurnished,furnished,False,none,sofa; chair; table,95.0,85-100,False,2.56,"A modern room with organic, wave-like wooden paneling and built-in seating."
img29.jpg,mirror_reflection,room,none,True,True,unfurnished,unclear,False,mirror,mirror; lamp; flowers,30.0,0-59,False,2.4,"A close-up of yellow tulips reflected in a mirror, with a lamp and vase visible."
img30.jpg,watermarked_collage,room,room,True,True,furnished,furnished,True,table; chair; lamp; plant,scale; desk; chair; stool; poster; clock; trash can,85.0,85-100,False,5.07,"A sparsely furnished medical examination room with a scale, desk, and chairs."
